"","ename","inttime","survey","cluster","eanum","hhnum","hhid","intdate","burnyn","whatburn","whatburnother","spray","closewindow","closetime","airbricks","scrairbricks","sdoors","ceiling","result","otherresult","totvisit","nonanophfem","nonanophmal","gambiaef","gambiaem","funestusf","funestusm","othanophfem","othanophmal"
"350","ODOL WILFRED","2018-07-18 09:29:37.000",3,56,4,94,305604094,"2018-07-22 00:00:00.000","No","-9","-9","No","Yes","6-7pm","No(or not all)","-9","No(or not all)","No","Completed",-9,1,0,0,0,0,0,0,0,0
"351","ODOL WILFRED","2018-07-22 07:53:04.000",3,56,5,63,305605063,"2018-07-21 00:00:00.000","No","-9","-9","No","Yes","6-7pm","No(or not all)","-9","No(or not all)","No","Completed",-9,1,0,0,0,0,0,0,0,0
"352","ODOL WILFRED","2018-07-22 09:38:21.000",3,56,6,72,305606072,"2018-07-19 00:00:00.000","No","-9","-9","No","Yes","Before 6pm","No(or not all)","-9","No(or not all)","No","Completed",-9,1,0,0,0,0,0,0,0,0
"353","ODOL WILFRED","2018-07-21 08:48:29.000",3,56,7,130,305607130,"2018-07-19 00:00:00.000","No","-9","-9","No","Yes","7-8pm","No(or not all)","-9","No(or not all)","No","Completed",-9,1,0,0,0,0,0,0,0,0
"354","ODOL WILFRED","2018-07-19 09:48:57.000",3,56,8,90,305608090,"2018-07-23 00:00:00.000","No","-9","-9","No","Yes","6-7pm","No(or not all)","-9","No(or not all)","No","Completed",-9,1,0,0,0,0,0,0,0,0
"355","ODOL WILFRED","2018-07-19 08:54:30.000",3,56,9,16,305609016,"2018-07-20 00:00:00.000","No","-9","-9","No","Yes","7-8pm","Yes(all)","No(or not all)","No(or not all)","No","Completed",-9,1,7,17,0,0,0,0,0,0
"356","ODOL WILFRED","2018-07-23 08:02:06.000",3,56,10,100,305610100,"2018-07-20 00:00:00.000","No","-9","-9","No","Yes","6-7pm","No(or not all)","-9","No(or not all)","Yes","Completed",-9,1,0,0,0,0,0,0,0,0
"357","TUMWESIGYE LABAN","2018-07-20 08:00:18.000",3,57,1,123,305701123,"2018-07-20 00:00:00.000","No","-9","-9","No","Yes","7-8pm","Yes(all)","No(or not all)","No(or not all)","No","Completed",-9,1,0,0,0,0,0,0,0,0
"358","TUMWESIGYE LABN","2018-07-20 09:11:23.000",3,57,2,61,305702061,"2018-07-22 00:00:00.000","No","-9","-9","No","Yes","8-9pm","No(or not all)","-9","No(or not all)","No","Completed",-9,1,1,0,0,0,0,0,0,0
"359","TUMWESIGYE LABAN","2018-07-20 08:38:43.000",3,57,3,83,305703083,"2018-07-22 00:00:00.000","No","-9","-9","No","Yes","After 10pm","Yes(all)","No(or not all)","No(or not all)","Yes","Completed",-9,1,0,0,0,0,0,0,0,0
"360","TUMWESIGYE LABAN","2018-07-22 08:39:20.000",3,57,4,15,305704015,"2018-07-21 00:00:00.000","No","-9","-9","No","Yes","7-8pm","Yes(all)","No(or not all)","No(or not all)","No","Completed",-9,1,0,0,0,0,0,0,0,0
"361","TUMWESIGYE LABAN","2018-07-22 09:19:43.000",3,57,5,46,305705046,"2018-07-21 00:00:00.000","No","-9","-9","No","Yes","9-10pm","No(or not all)","-9","No(or not all)","No","Completed",-9,1,0,0,0,0,0,0,0,0
"362","TUMWESIGYE LABAN","2018-07-21 09:16:00.000",3,57,6,2,305706002,"2018-07-27 00:00:00.000","No","-9","-9","No","Yes","6-7pm","Yes(all)","No(or not all)","No(or not all)","Yes","Completed",-9,1,3,0,0,0,0,0,0,0
"363","TUMWESIGYE LABAN","2018-07-21 08:17:50.000",3,57,7,16,305707016,"2018-07-22 00:00:00.000","No","-9","-9","No","Yes","7-8pm","Yes(all)","No(or not all)","No(or not all)","No","Completed",-9,1,2,0,0,0,0,0,0,0
"364","TUMWESIGYE LABAN","2018-07-27 07:04:19.000",3,57,8,34,305708034,"2018-07-22 00:00:00.000","No","-9","-9","No","Yes","8-9pm","Yes(all)","No(or not all)","No(or not all)","Yes","Completed",-9,1,0,0,0,0,0,0,0,0
