X,Y,id,hhid3,area,perimeter,Net_main,net_pbo,dname2019,ADM4_EN
34.1713232167752,1.09702827339234,52,9908,0.000002,0.006006,1,1,MBALE,Northern Division
34.1807738097771,1.09315683926974,53,9907,0.000001,0.005754,1,1,MBALE,Northern Division
34.1843941265202,1.08757769717564,54,9906,0.000001,0.003628,1,1,MBALE,Northern Division
34.1670944476102,1.09376170250586,55,9905,0.000005,0.010670,1,1,MBALE,Northern Division
34.3663769168952,1.33502095361091,154,8906,0.000009,0.011720,2,2,KAPCHORWA,Sipi
34.247423150087,1.22892092720395,160,8810,0.000002,0.005089,1,1,SIRONKO,Sironko Town Council
34.2424899692567,1.23405353590761,161,8809,0.000008,0.015779,1,1,SIRONKO,Sironko Town Council
34.3287777162151,1.27067781611541,91,9509,0.000001,0.005360,1,1,BULAMBULI,Sisiyi
34.4336883013727,1.40990181100144,150,8910,0.000028,0.026669,2,2,KAPCHORWA,Western Division
34.4022303176989,1.40742438629935,151,8909,0.000003,0.007848,2,2,KAPCHORWA,Western Division
34.3301995193228,1.10570538044468,170,8710,0.000014,0.014564,4,2,SIRONKO,Zesui
33.4251234617959,0.964443155315084,109,9401,0.000002,0.008596,2,2,KALIRO,Budomero
33.2751379628479,1.06097829191019,8,10402,0.000018,0.020024,2,2,BUYENDE,Bugaya
33.2931961027853,1.09249492824688,9,10401,0.000027,0.026978,2,2,BUYENDE,Bugaya
33.4119078168988,1.20270782749352,108,9402,0.000021,0.020311,2,2,KALIRO,Bukamba
33.0432714823714,0.892182040228591,297,7503,0.000112,0.041892,2,2,KAMULI,Butansi
33.1034064118799,1.23377719449498,6,10404,0.000055,0.030448,2,2,BUYENDE,Buyende
33.1570435816618,1.28110160709018,7,10403,0.000027,0.021085,2,2,BUYENDE,Buyende
33.3298725197317,1.02524310027746,204,8406,0.000029,0.035359,1,1,LUUKA,Ikumbya
33.3408072511405,0.957061764584534,205,8405,0.000067,0.042293,1,1,LUUKA,Ikumbya
33.3674155865951,1.27891479385607,3,10407,0.000042,0.028417,2,2,BUYENDE,Kagulu
33.307807708947,1.28910672509,4,10406,0.000042,0.024759,2,2,BUYENDE,Kagulu
33.32713128457,1.13696622909806,5,10405,0.000019,0.020902,2,2,BUYENDE,Kagulu
33.0837751709262,1.14577064188349,299,7501,0.000041,0.027708,2,2,KAMULI,Kagumba
32.9506338022665,1.29916023712065,1,10409,0.000181,0.064180,2,2,BUYENDE,Kidera
32.8740768639021,1.40423358399661,2,10408,0.000048,0.030953,2,2,BUYENDE,Kidera
32.9533717872055,1.00820755461036,293,7507,0.000001,0.004365,2,2,KAMULI,Namasagali
32.9955075469483,0.952868350269124,294,7506,0.000043,0.026247,2,2,KAMULI,Namasagali
33.2708654764822,0.977497458685679,291,7509,0.000018,0.018356,2,2,KAMULI,Namwendwa
33.2792521425365,0.95335448538232,292,7508,0.000078,0.037027,2,2,KAMULI,Namwendwa
33.4070864673311,1.01563896312863,101,9409,0.000037,0.027974,2,2,KALIRO,Nansololo
33.3901466756498,1.07465755554331,100,9410,0.000024,0.022284,2,2,KALIRO,Nawaikoke
33.0759816317404,1.32601060534604,0,10410,0.000096,0.041909,2,2,BUYENDE,Nkondo
33.1254195596778,0.949115084127806,283,7607,0.000005,0.008877,2,2,KAMULI,Northern Division
33.1284749635445,0.937422410166912,284,7606,0.000010,0.013796,2,2,KAMULI,Northern Division
33.1461180473858,0.931707582376897,285,7605,0.000036,0.026223,2,2,KAMULI,Northern Division
33.1025017183229,0.907572523893993,280,7610,0.000016,0.016299,,,KAMULI,Southern Division
33.0773856158547,0.960685716607055,281,7609,0.000055,0.029880,,,KAMULI,Southern Division
33.1180257158836,0.943386378068601,282,7608,0.000006,0.009822,,,KAMULI,Southern Division
29.897232922272,-1.31536473757153,408,6402,0.000045,0.028841,2,2,RUBANDA,Bufundi
29.8554015887681,-1.31324638257008,409,6401,0.000034,0.023501,2,2,RUBANDA,Bufundi
29.7458216811027,-1.17060292351965,479,5701,0.000034,0.032400,1,1,KISORO,Bukimbiri
29.5828000768692,-1.17937051881299,468,5802,0.000014,0.018117,3,1,KISORO,Busanza
29.6401926474662,-1.20733627016054,469,5801,0.000043,0.035483,3,1,KISORO,Busanza
29.6945422406584,-1.28412348202531,451,5909,0.000003,0.006622,2,2,KISORO,Central
29.7324577616208,-1.29393588183087,459,5901,0.000012,0.014934,2,2,KISORO,Chahi
29.8574440324633,-1.08580855600626,407,6403,0.000033,0.022088,2,2,RUBANDA,Ikumba
29.7595624912126,-1.27701462702879,477,5703,0.000005,0.014639,1,1,KISORO,Kanaba
29.7908631616188,-1.29002481254188,478,5702,0.000032,0.023452,1,1,KISORO,Kanaba
29.6229930762938,-0.970928684071609,578,4702,0.000012,0.014988,1,1,KANUNGU,Kayonza
29.6758484399223,-0.903206699745195,579,4701,0.000020,0.018172,1,1,KANUNGU,Kayonza
29.8153200285341,-1.02063233421282,584,4606,0.000024,0.026133,1,1,KANUNGU,Kinaaba
29.6463726909166,-1.18871149626887,465,5805,0.000070,0.037334,3,1,KISORO,Kirundo
29.759553090433,-0.974305066469437,573,4707,0.000055,0.028996,1,1,KANUNGU,Mpungu
29.8731648474406,-1.19509170746132,404,6406,0.000015,0.017635,2,2,RUBANDA,Muko
29.7991401725128,-1.17476983097741,405,6405,0.000010,0.020660,2,2,RUBANDA,Muko
29.7858924035087,-1.20483028039986,406,6404,0.000005,0.009841,2,2,RUBANDA,Muko
